"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"14","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","23","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"15","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","24","Local variable 'jdbcUsername' could be declared final","Code Style","LocalVariableCouldBeFinal"
"16","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","24","Local variable 'jdbcUsername' could be declared final","Code Style","LocalVariableCouldBeFinal"
"17","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","24","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"18","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","24","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"19","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","25","Local variable 'jdbcPassword' could be declared final","Code Style","LocalVariableCouldBeFinal"
"20","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","25","Local variable 'jdbcPassword' could be declared final","Code Style","LocalVariableCouldBeFinal"
"21","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","25","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"22","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","25","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"23","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","31","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"24","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","31","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"25","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","31","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"26","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","31","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"27","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","31","Protected method constructor comments are required","Documentation","CommentRequired"
"28","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","31","Protected method constructor comments are required","Documentation","CommentRequired"
"29","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","31","The method 'doPost(HttpServletRequest, HttpServletResponse)' is missing an @Override annotation.","Best Practices","MissingOverride"
"30","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","31","The method 'doPost(HttpServletRequest, HttpServletResponse)' is missing an @Override annotation.","Best Practices","MissingOverride"
"31","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","36","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"32","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","36","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"33","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","36","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"34","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","36","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"35","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","36","Protected method constructor comments are required","Documentation","CommentRequired"
"36","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","36","Protected method constructor comments are required","Documentation","CommentRequired"
"37","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","36","The method 'doGet(HttpServletRequest, HttpServletResponse)' is missing an @Override annotation.","Best Practices","MissingOverride"
"38","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","36","The method 'doGet(HttpServletRequest, HttpServletResponse)' is missing an @Override annotation.","Best Practices","MissingOverride"
"39","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","38","Local variable 'action' could be declared final","Code Style","LocalVariableCouldBeFinal"
"40","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","38","Local variable 'action' could be declared final","Code Style","LocalVariableCouldBeFinal"
"41","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","66","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"42","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","66","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"43","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","66","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"44","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","66","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"45","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","68","Local variable 'listEmp' could be declared final","Code Style","LocalVariableCouldBeFinal"
"46","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","68","Local variable 'listEmp' could be declared final","Code Style","LocalVariableCouldBeFinal"
"47","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","70","Local variable 'dispatcher' could be declared final","Code Style","LocalVariableCouldBeFinal"
"48","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","70","Local variable 'dispatcher' could be declared final","Code Style","LocalVariableCouldBeFinal"
"49","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","71","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"50","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","71","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"51","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","74","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"52","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","74","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"53","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","74","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"54","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","74","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"55","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","76","Local variable 'dispatcher' could be declared final","Code Style","LocalVariableCouldBeFinal"
"56","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","76","Local variable 'dispatcher' could be declared final","Code Style","LocalVariableCouldBeFinal"
"57","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","77","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"58","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","77","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"59","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","80","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"60","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","80","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"61","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","80","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"62","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","80","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"63","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","82","Avoid variables with short names like id","Code Style","ShortVariable"
"64","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","82","Avoid variables with short names like id","Code Style","ShortVariable"
"65","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","82","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"66","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","82","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"67","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","83","Local variable 'existingBook' could be declared final","Code Style","LocalVariableCouldBeFinal"
"68","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","83","Local variable 'existingBook' could be declared final","Code Style","LocalVariableCouldBeFinal"
"69","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","84","Local variable 'dispatcher' could be declared final","Code Style","LocalVariableCouldBeFinal"
"70","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","84","Local variable 'dispatcher' could be declared final","Code Style","LocalVariableCouldBeFinal"
"71","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","86","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"72","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","86","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"73","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","90","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"74","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","90","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"75","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","90","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"76","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","90","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"77","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","91","Local variable 'empname' could be declared final","Code Style","LocalVariableCouldBeFinal"
"78","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","91","Local variable 'empname' could be declared final","Code Style","LocalVariableCouldBeFinal"
"79","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","92","Local variable 'empdesignation' could be declared final","Code Style","LocalVariableCouldBeFinal"
"80","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","92","Local variable 'empdesignation' could be declared final","Code Style","LocalVariableCouldBeFinal"
"81","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","93","Local variable 'location' could be declared final","Code Style","LocalVariableCouldBeFinal"
"82","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","93","Local variable 'location' could be declared final","Code Style","LocalVariableCouldBeFinal"
"83","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","95","Local variable 'newBook' could be declared final","Code Style","LocalVariableCouldBeFinal"
"84","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","95","Local variable 'newBook' could be declared final","Code Style","LocalVariableCouldBeFinal"
"85","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","100","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"86","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","100","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"87","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","100","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"88","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","100","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"89","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","101","Avoid variables with short names like id","Code Style","ShortVariable"
"90","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","101","Avoid variables with short names like id","Code Style","ShortVariable"
"91","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","101","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"92","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","101","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"93","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","102","Local variable 'empname' could be declared final","Code Style","LocalVariableCouldBeFinal"
"94","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","102","Local variable 'empname' could be declared final","Code Style","LocalVariableCouldBeFinal"
"95","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","103","Local variable 'empdesignation' could be declared final","Code Style","LocalVariableCouldBeFinal"
"96","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","103","Local variable 'empdesignation' could be declared final","Code Style","LocalVariableCouldBeFinal"
"97","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","104","Local variable 'location' could be declared final","Code Style","LocalVariableCouldBeFinal"
"98","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","104","Local variable 'location' could be declared final","Code Style","LocalVariableCouldBeFinal"
"99","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","106","Local variable 'upemp' could be declared final","Code Style","LocalVariableCouldBeFinal"
"100","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","106","Local variable 'upemp' could be declared final","Code Style","LocalVariableCouldBeFinal"
"101","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","111","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"102","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","111","Parameter 'request' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"103","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","111","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"104","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","111","Parameter 'response' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"105","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","112","Avoid variables with short names like id","Code Style","ShortVariable"
"106","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","112","Avoid variables with short names like id","Code Style","ShortVariable"
"107","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","112","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"108","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","112","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"109","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","114","Local variable 'empdel' could be declared final","Code Style","LocalVariableCouldBeFinal"
"110","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","114","Local variable 'empdel' could be declared final","Code Style","LocalVariableCouldBeFinal"
"111","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","9","The class 'Employee' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"112","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","9","The class 'Employee' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"113","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","10","Avoid variables with short names like id","Code Style","ShortVariable"
"114","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","10","Avoid variables with short names like id","Code Style","ShortVariable"
"115","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","10","Field comments are required","Documentation","CommentRequired"
"116","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","10","Field comments are required","Documentation","CommentRequired"
"117","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","11","Field comments are required","Documentation","CommentRequired"
"118","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","11","Field comments are required","Documentation","CommentRequired"
"119","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","12","Field comments are required","Documentation","CommentRequired"
"120","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","12","Field comments are required","Documentation","CommentRequired"
"121","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","13","Field comments are required","Documentation","CommentRequired"
"122","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","13","Field comments are required","Documentation","CommentRequired"
"123","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","15","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"124","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","15","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"125","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","15","Public method and constructor comments are required","Documentation","CommentRequired"
"126","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","15","Public method and constructor comments are required","Documentation","CommentRequired"
"127","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","18","Avoid variables with short names like id","Code Style","ShortVariable"
"128","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","18","Avoid variables with short names like id","Code Style","ShortVariable"
"129","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","18","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"130","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","18","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"131","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","18","Public method and constructor comments are required","Documentation","CommentRequired"
"132","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","18","Public method and constructor comments are required","Documentation","CommentRequired"
"133","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Avoid variables with short names like id","Code Style","ShortVariable"
"134","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Avoid variables with short names like id","Code Style","ShortVariable"
"135","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Parameter 'designation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"136","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Parameter 'designation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"137","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Parameter 'empname' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"138","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Parameter 'empname' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"139","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"140","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"141","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Parameter 'location' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"142","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Parameter 'location' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"143","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Public method and constructor comments are required","Documentation","CommentRequired"
"144","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","22","Public method and constructor comments are required","Documentation","CommentRequired"
"145","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","27","Parameter 'designation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"146","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","27","Parameter 'designation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"147","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","27","Parameter 'location' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"148","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","27","Parameter 'location' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"149","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","27","Parameter 'title' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"150","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","27","Parameter 'title' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"151","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","27","Public method and constructor comments are required","Documentation","CommentRequired"
"152","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","27","Public method and constructor comments are required","Documentation","CommentRequired"
"153","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","37","Avoid variables with short names like id","Code Style","ShortVariable"
"154","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","37","Avoid variables with short names like id","Code Style","ShortVariable"
"155","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","37","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"156","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","37","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"157","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","47","Parameter 'empname' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"158","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","47","Parameter 'empname' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"159","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","57","Parameter 'empdesignation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"160","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","57","Parameter 'empdesignation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"161","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","65","Parameter 'location' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"162","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","65","Parameter 'location' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"163","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","69","Comment is too large: Too many lines","Documentation","CommentSize"
"164","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/Employee.java","3","69","Comment is too large: Too many lines","Documentation","CommentSize"
"165","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/EmployeeDAO.java","3","20","Field comments are required","Documentation","CommentRequired"
"166","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/EmployeeDAO.java","3","20","Field comments are required","Documentation","CommentRequired"
"167","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/EmployeeDAO.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"168","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/EmployeeDAO.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"169","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/EmployeeDAO.java","3","20","Private field 'jdbcURL' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"170","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/EmployeeDAO.java","3","20","Private field 'jdbcURL' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
